GEO.id,GEO.id2,GEO.display-label,Median_Income,MEDIAN_MONTHLY_HOUSING_COST,COUNTY
0500000US42001,42001,"Adams County, Pennsylvania",63107,966,Adams
0500000US42003,42003,"Allegheny County, Pennsylvania",58625,901,Allegheny
0500000US42005,42005,"Armstrong County, Pennsylvania",45949,650,Armstrong
0500000US42007,42007,"Beaver County, Pennsylvania",54923,759,Beaver
0500000US42011,42011,"Berks County, Pennsylvania",61058,1037,Berks
0500000US42013,42013,"Blair County, Pennsylvania",45957,696,Blair
0500000US42017,42017,"Bucks County, Pennsylvania",84749,1439,Bucks
0500000US42019,42019,"Butler County, Pennsylvania",68934,887,Butler
0500000US42021,42021,"Cambria County, Pennsylvania",46598,603,Cambria
0500000US42025,42025,"Carbon County, Pennsylvania",49647,824,Carbon
0500000US42027,42027,"Centre County, Pennsylvania",55895,976,Centre
0500000US42029,42029,"Chester County, Pennsylvania",96656,1543,Chester
0500000US42033,42033,"Clearfield County, Pennsylvania",48581,628,Clearfield
0500000US42037,42037,"Columbia County, Pennsylvania",51726,785,Columbia
0500000US42039,42039,"Crawford County, Pennsylvania",50657,633,Crawford
0500000US42041,42041,"Cumberland County, Pennsylvania",69301,1047,Cumberland
0500000US42043,42043,"Dauphin County, Pennsylvania",61622,1006,Dauphin
0500000US42045,42045,"Delaware County, Pennsylvania",73854,1208,Delaware
0500000US42049,42049,"Erie County, Pennsylvania",50614,767,Erie
0500000US42051,42051,"Fayette County, Pennsylvania",44184,636,Fayette
0500000US42055,42055,"Franklin County, Pennsylvania",60459,897,Franklin
0500000US42063,42063,"Indiana County, Pennsylvania",46237,679,Indiana
0500000US42069,42069,"Lackawanna County, Pennsylvania",49172,826,Lackawanna
0500000US42071,42071,"Lancaster County, Pennsylvania",63407,1034,Lancaster
0500000US42073,42073,"Lawrence County, Pennsylvania",49967,691,Lawrence
0500000US42075,42075,"Lebanon County, Pennsylvania",57372,881,Lebanon
0500000US42077,42077,"Lehigh County, Pennsylvania",60871,1086,Lehigh
0500000US42079,42079,"Luzerne County, Pennsylvania",51332,765,Luzerne
0500000US42081,42081,"Lycoming County, Pennsylvania",50909,793,Lycoming
0500000US42085,42085,"Mercer County, Pennsylvania",46785,662,Mercer
0500000US42089,42089,"Monroe County, Pennsylvania",61612,1180,Monroe
0500000US42091,42091,"Montgomery County, Pennsylvania",87304,1457,Montgomery
0500000US42095,42095,"Northampton County, Pennsylvania",66066,1153,Northampton
0500000US42097,42097,"Northumberland County, Pennsylvania",44895,628,Northumberland
0500000US42101,42101,"Philadelphia County, Pennsylvania",39759,941,Philadelphia
0500000US42107,42107,"Schuylkill County, Pennsylvania",49559,665,Schuylkill
0500000US42111,42111,"Somerset County, Pennsylvania",48846,603,Somerset
0500000US42125,42125,"Washington County, Pennsylvania",60551,794,Washington
0500000US42129,42129,"Westmoreland County, Pennsylvania",60713,749,Westmoreland
0500000US42133,42133,"York County, Pennsylvania",63519,1058,York
