GEOid,GEOid2,GEOdisplay-label,Total_Households,Median_Income,County
0500000US42001,42001,"Adams County, Pennsylvania",38269,61927,Adams
0500000US42003,42003,"Allegheny County, Pennsylvania",531075,54357,Allegheny
0500000US42005,42005,"Armstrong County, Pennsylvania",28250,45879,Armstrong
0500000US42007,42007,"Beaver County, Pennsylvania",69921,51887,Beaver
0500000US42009,42009,"Bedford County, Pennsylvania",19757,46746,Bedford
0500000US42011,42011,"Berks County, Pennsylvania",152451,57068,Berks
0500000US42013,42013,"Blair County, Pennsylvania",50954,44033,Blair
0500000US42015,42015,"Bradford County, Pennsylvania",24483,51035,Bradford
0500000US42017,42017,"Bucks County, Pennsylvania",233517,79559,Bucks
0500000US42019,42019,"Butler County, Pennsylvania",74762,63345,Butler
0500000US42021,42021,"Cambria County, Pennsylvania",57214,42917,Cambria
0500000US42023,42023,"Cameron County, Pennsylvania",2187,40347,Cameron
0500000US42025,42025,"Carbon County, Pennsylvania",25813,50822,Carbon
0500000US42027,42027,"Centre County, Pennsylvania",57037,54407,Centre
0500000US42029,42029,"Chester County, Pennsylvania",186721,88995,Chester
0500000US42031,42031,"Clarion County, Pennsylvania",15848,42890,Clarion
0500000US42033,42033,"Clearfield County, Pennsylvania",31303,43361,Clearfield
0500000US42035,42035,"Clinton County, Pennsylvania",14710,47163,Clinton
0500000US42037,42037,"Columbia County, Pennsylvania",26356,46952,Columbia
0500000US42039,42039,"Crawford County, Pennsylvania",34526,45637,Crawford
0500000US42041,42041,"Cumberland County, Pennsylvania",96501,62640,Cumberland
0500000US42043,42043,"Dauphin County, Pennsylvania",110211,54968,Dauphin
0500000US42045,42045,"Delaware County, Pennsylvania",203610,66576,Delaware
0500000US42047,42047,"Elk County, Pennsylvania",13362,47917,Elk
0500000US42049,42049,"Erie County, Pennsylvania",110047,47094,Erie
0500000US42051,42051,"Fayette County, Pennsylvania",53654,40511,Fayette
0500000US42053,42053,"Forest County, Pennsylvania",1816,36594,Forest
0500000US42055,42055,"Franklin County, Pennsylvania",59392,55751,Franklin
0500000US42057,42057,"Fulton County, Pennsylvania",5989,49420,Fulton
0500000US42059,42059,"Greene County, Pennsylvania",14400,49116,Greene
0500000US42061,42061,"Huntingdon County, Pennsylvania",16975,45250,Huntingdon
0500000US42063,42063,"Indiana County, Pennsylvania",34059,45118,Indiana
0500000US42065,42065,"Jefferson County, Pennsylvania",18360,43913,Jefferson
0500000US42067,42067,"Juniata County, Pennsylvania",9326,49028,Juniata
0500000US42069,42069,"Lackawanna County, Pennsylvania",85174,46673,Lackawanna
0500000US42071,42071,"Lancaster County, Pennsylvania",196171,59237,Lancaster
0500000US42073,42073,"Lawrence County, Pennsylvania",36302,45764,Lawrence
0500000US42075,42075,"Lebanon County, Pennsylvania",52247,56191,Lebanon
0500000US42077,42077,"Lehigh County, Pennsylvania",135363,57685,Lehigh
0500000US42079,42079,"Luzerne County, Pennsylvania",127514,46577,Luzerne
0500000US42081,42081,"Lycoming County, Pennsylvania",45587,48731,Lycoming
0500000US42083,42083,"McKean County, Pennsylvania",17259,44023,McKean
0500000US42085,42085,"Mercer County, Pennsylvania",45350,45831,Mercer
0500000US42087,42087,"Mifflin County, Pennsylvania",18695,42019,Mifflin
0500000US42089,42089,"Monroe County, Pennsylvania",57127,58980,Monroe
0500000US42091,42091,"Montgomery County, Pennsylvania",309884,81902,Montgomery
0500000US42093,42093,"Montour County, Pennsylvania",7361,55233,Montour
0500000US42095,42095,"Northampton County, Pennsylvania",112819,62753,Northampton
0500000US42097,42097,"Northumberland County, Pennsylvania",39192,43701,Northumberland
0500000US42099,42099,"Perry County, Pennsylvania",17883,58585,Perry
0500000US42101,42101,"Philadelphia County, Pennsylvania",582594,39770,Philadelphia
0500000US42103,42103,"Pike County, Pennsylvania",21135,61199,Pike
0500000US42105,42105,"Potter County, Pennsylvania",6623,40921,Potter
0500000US42107,42107,"Schuylkill County, Pennsylvania",58341,46573,Schuylkill
0500000US42109,42109,"Snyder County, Pennsylvania",14528,51110,Snyder
0500000US42111,42111,"Somerset County, Pennsylvania",29630,45424,Somerset
0500000US42113,42113,"Sullivan County, Pennsylvania",2647,44926,Sullivan
0500000US42115,42115,"Susquehanna County, Pennsylvania",17368,50160,Susquehanna
0500000US42117,42117,"Tioga County, Pennsylvania",16340,48449,Tioga
0500000US42119,42119,"Union County, Pennsylvania",14649,51349,Union
0500000US42121,42121,"Venango County, Pennsylvania",21962,43885,Venango
0500000US42123,42123,"Warren County, Pennsylvania",16904,44977,Warren
0500000US42125,42125,"Washington County, Pennsylvania",83745,57534,Washington
0500000US42127,42127,"Wayne County, Pennsylvania",19173,50595,Wayne
0500000US42129,42129,"Westmoreland County, Pennsylvania",150697,54142,Westmoreland
0500000US42131,42131,"Wyoming County, Pennsylvania",10801,53397,Wyoming
0500000US42133,42133,"York County, Pennsylvania",168008,59853,York
